Created as New Dataset,Sample 001 By Laboratory Date 16 10 2025
cm-1,A
3536.00,0.1642
3535.00,0.1637
3534.00,0.1633
3533.00,0.1629
3532.00,0.1625
3531.00,0.1621
3530.00,0.1616
3529.00,0.1612
3528.00,0.1608
3527.00,0.1603
3526.00,0.1597
3525.00,0.1591
3524.00,0.1587
3523.00,0.1583
3522.00,0.1580
3521.00,0.1576
3520.00,0.1573
3519.00,0.1569
3518.00,0.1566
3517.00,0.1563
3516.00,0.1560
3515.00,0.1555
3514.00,0.1551
3513.00,0.1546
3512.00,0.1543
3511.00,0.1542
3510.00,0.1542
3509.00,0.1542
3508.00,0.1543
3507.00,0.1543
3506.00,0.1544
3505.00,0.1546
3504.00,0.1550
3503.00,0.1557
3502.00,0.1566
3501.00,0.1574
3500.00,0.1583
3499.00,0.1594
3498.00,0.1608
3497.00,0.1625
3496.00,0.1644
3495.00,0.1665
3494.00,0.1688
3493.00,0.1715
3492.00,0.1745
3491.00,0.1779
3490.00,0.1815
3489.00,0.1854
3488.00,0.1894
3487.00,0.1936
3486.00,0.1982
3485.00,0.2029
3484.00,0.2079
3483.00,0.2130
3482.00,0.2182
3481.00,0.2235
3480.00,0.2287
3479.00,0.2338
3478.00,0.2387
3477.00,0.2433
3476.00,0.2477
3475.00,0.2516
3474.00,0.2549
3473.00,0.2577
3472.00,0.2601
3471.00,0.2620
3470.00,0.2634
3469.00,0.2642
3468.00,0.2642
3467.00,0.2635
3466.00,0.2621
3465.00,0.2601
3464.00,0.2575
3463.00,0.2544
3462.00,0.2508
3461.00,0.2467
3460.00,0.2424
3459.00,0.2377
3458.00,0.2327
3457.00,0.2272
3456.00,0.2215
3455.00,0.2157
3454.00,0.2099
3453.00,0.2040
3452.00,0.1980
3451.00,0.1921
3450.00,0.1863
3449.00,0.1807
3448.00,0.1753
3447.00,0.1698
3446.00,0.1645
3445.00,0.1595
3444.00,0.1548
3443.00,0.1504
3442.00,0.1462
3441.00,0.1421
3440.00,0.1383
3439.00,0.1347
3438.00,0.1315
3437.00,0.1284
3436.00,0.1255
3435.00,0.1227
3434.00,0.1200
3433.00,0.1175
3432.00,0.1151
3431.00,0.1129
3430.00,0.1110
3429.00,0.1093
3428.00,0.1076
3427.00,0.1060
3426.00,0.1046
3425.00,0.1033
3424.00,0.1022
3423.00,0.1011
3422.00,0.1000
3421.00,0.0989
3420.00,0.0979
3419.00,0.0970
3418.00,0.0961
3417.00,0.0953
3416.00,0.0945
3415.00,0.0939
3414.00,0.0932
3413.00,0.0926
3412.00,0.0920
3411.00,0.0914
3410.00,0.0908
3409.00,0.0903
3408.00,0.0898
3407.00,0.0894
3406.00,0.0891
3405.00,0.0889
3404.00,0.0887
3403.00,0.0885
3402.00,0.0882
3401.00,0.0880
3400.00,0.0878
3399.00,0.0877
3398.00,0.0875
3397.00,0.0872
3396.00,0.0870
3395.00,0.0868
3394.00,0.0868
3393.00,0.0867
3392.00,0.0866
3391.00,0.0865
3390.00,0.0865
3389.00,0.0864
3388.00,0.0863
3387.00,0.0862
3386.00,0.0862
3385.00,0.0862
3384.00,0.0863
3383.00,0.0864
3382.00,0.0865
3381.00,0.0867
3380.00,0.0868
3379.00,0.0869
3378.00,0.0869
3377.00,0.0868
3376.00,0.0868
3375.00,0.0869
3374.00,0.0871
3373.00,0.0873
3372.00,0.0874
3371.00,0.0874
3370.00,0.0874
3369.00,0.0874
3368.00,0.0875
3367.00,0.0875
3366.00,0.0874
3365.00,0.0872
3364.00,0.0870
3363.00,0.0868
3362.00,0.0866
3361.00,0.0864
3360.00,0.0860
3359.00,0.0857
3358.00,0.0853
3357.00,0.0850
3356.00,0.0848
3355.00,0.0847
3354.00,0.0845
3353.00,0.0842
3352.00,0.0839
3351.00,0.0836
3350.00,0.0832
3349.00,0.0830
3348.00,0.0828
3347.00,0.0828
3346.00,0.0826
3345.00,0.0825
3344.00,0.0823
3343.00,0.0821
3342.00,0.0820
3341.00,0.0819
3340.00,0.0818
3339.00,0.0818
3338.00,0.0817
3337.00,0.0817
3336.00,0.0818
3335.00,0.0819
3334.00,0.0819
3333.00,0.0820
3332.00,0.0822
3331.00,0.0824
3330.00,0.0827
3329.00,0.0829
3328.00,0.0831
3327.00,0.0833
3326.00,0.0834
3325.00,0.0835
3324.00,0.0836
3323.00,0.0838
3322.00,0.0840
3321.00,0.0842
3320.00,0.0845
3319.00,0.0847
3318.00,0.0848
3317.00,0.0849
3316.00,0.0851
3315.00,0.0852
3314.00,0.0852
3313.00,0.0852
3312.00,0.0851
3311.00,0.0850
3310.00,0.0849
3309.00,0.0848
3308.00,0.0847
3307.00,0.0845
3306.00,0.0844
3305.00,0.0842
3304.00,0.0840
3303.00,0.0838
3302.00,0.0836
3301.00,0.0833
3300.00,0.0831
3299.00,0.0829
3298.00,0.0828
3297.00,0.0827
3296.00,0.0828
3295.00,0.0828
3294.00,0.0829
3293.00,0.0828
3292.00,0.0828
3291.00,0.0828
3290.00,0.0828
3289.00,0.0829
3288.00,0.0832
3287.00,0.0835
3286.00,0.0838
3285.00,0.0841
3284.00,0.0843
3283.00,0.0846
3282.00,0.0849
